                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.0033,                0.69395,                 1.2432,                0.91634,                0.87879,                0.87539,                0.61011,                 1.1806,                0.66124,                 1.2809,              0.0091156,              0.0091156,              0.0091156
                    136,                0.85338,                0.61373,                 1.1136,                0.90054,                0.87879,                0.89232,                 0.6192,                  1.132,                0.63266,                 1.2399,               0.009109,               0.009109,               0.009109
                    137,                 0.8235,                0.63406,                 1.1163,                0.80984,                0.90349,                0.88099,                0.65661,                  1.025,                0.67085,                 1.1506,              0.0091024,              0.0091024,              0.0091024
                    138,                 0.8812,                0.67565,                 1.1614,                0.88059,                0.93939,                0.92696,                0.68287,                0.97171,                0.64207,                 1.1352,              0.0090958,              0.0090958,              0.0090958
                    139,                0.85916,                0.62224,                 1.1353,                0.88514,                0.93418,                0.92332,                0.66563,                 1.0122,                0.58514,                 1.1728,              0.0090892,              0.0090892,              0.0090892
                    140,                0.91159,                0.65479,                 1.1944,                0.96526,                0.84213,                0.89068,                0.61489,                 1.1584,                0.56846,                 1.2769,              0.0090826,              0.0090826,              0.0090826
                    141,                0.84442,                0.64631,                 1.1526,                0.92867,                0.87879,                 0.9239,                0.64562,                 1.0193,                0.58283,                 1.1781,               0.009076,               0.009076,               0.009076
                    142,                0.82316,                 0.5944,                 1.1267,                0.85269,                0.90909,                0.88714,                0.64019,                0.91199,                 0.5966,                 1.1302,              0.0090694,              0.0090694,              0.0090694
                    143,                0.88895,                0.60292,                  1.177,                0.93649,                0.89393,                0.89935,                0.67741,                0.86242,                0.52702,                 1.1095,              0.0090628,              0.0090628,              0.0090628
                    144,                0.85409,                0.68639,                 1.1281,                0.96543,                0.84639,                0.87588,                0.64101,                0.88968,                0.57386,                 1.1317,              0.0090562,              0.0090562,              0.0090562
                    145,                0.87145,                0.65133,                 1.1412,                0.95115,                0.81818,                0.84225,                0.64601,                0.93771,                0.57724,                 1.1288,              0.0090496,              0.0090496,              0.0090496
